_id,text,optionA,optionB,count
qT7CCabdjnyNx7D8t,Are you happy?,Yes,No,"{""A"":320,""B"":142}"
DjqY48Yp3xpgyLkgj,Stay or go?,Stay,Go,"{""A"":129,""B"":145}"
Ce3GTajiyJuJYhw2q,?,red pill,blue pill,"{""A"":211,""B"":195}"
yGjQ2dmEnxc8qWoLw,Build more housing?,Yes,No,"{""A"":183,""B"":88}"
R3JFQ5sR9wFPyAPSd,"In this moment, are you driven by fear or love?",Fear,Love,"{""A"":102,""B"":179}"
88hYnvneC8Wty2yqk,Dance through the door?,Yes,No,"{""A"":351,""B"":258}"
FtJ7ffv4XJbKQjzuh,See someone you want to talk to right now?,Yes,No,"{""A"":100,""B"":73}"
9DbRHQGcof6Z4by8T,Do you live a reflective life?,Yes,No,"{""A"":231,""B"":241}"
u8riooQJB4QiexMMX,Have you done something kind today?,Yes,No,"{""A"":120,""B"":63}"
2sYqAzwNQEjNi3ikk,Are you attractive?,Yes,No,"{""A"":160,""B"":98}"
zCS6oY62KYhRNTzca,?,cake,kale,"{""A"":511,""B"":300}"
rj3vKeeTrxoGbLC7Y,?,cats,dogs,"{""A"":432,""B"":666}"
k9s5pMKTpQhiRGutp,?,tourist,local,"{""A"":390,""B"":671}"
3k8nyy8grNpaxv7Nz,Would you like fries with that?,Yes,No,"{""A"":146,""B"":108}"
XkCS7aPMZZCpGZSFS,Snowden?,Forgive,Applaud,"{""A"":167,""B"":246}"
PP5CCom5XSbzXfYWw,Julian Assange?,Hero,Terrorist,"{""A"":179,""B"":178}"
7CwNGdoXD94vyibNv,Chelsea manning?,Hero,Traitor,"{""A"":327,""B"":237}"
7bpFZzN4SDWwtTTtv,Give money to homeless?,Yes,No,"{""A"":195,""B"":140}"
gmbgFbMybT8odQSgy,Airbnb is a ?,Menace,Service,"{""A"":141,""B"":164}"
4sXbvj8JWnCM6AK2R,"If you were a hotdog, would you eat yourself?",Yes,No,"{""A"":80,""B"":128}"
3gyiSKjsP3zRowhih,Best music?,Classical,Electronic,"{""A"":299,""B"":318}"
sX6s2eEDZzuqH2eb8,Do you believe in love?,Yes,No,"{""A"":375,""B"":207}"
KQHfyz3XwTLDhqApY,how are you feeling?,yay,nay,"{""A"":80,""B"":45}"
qCHiu2fA8Qa5skKZj,Favorite koolaid flavor?,purple,red,"{""A"":194,""B"":291}"
mMNXZ9mktJF4tMHxH,?,Hillary,Trump,"{""A"":797,""B"":301}"
YeHrurDLdJZqyhPBK,?,pro choice,pro life,"{""A"":348,""B"":141}"
DBZgk7QyHvytNc74m,?,tea,coffee,"{""A"":290,""B"":357}"
tzYANsqNaghnsKFBd,indent with tabs or spaces?,tabs,spaces,"{""A"":274,""B"":218}"
curhpSNJhyzEghLse,?,pepsi,coke,"{""A"":104,""B"":250}"
pxH72ixM7248FCQe6,?,zoho,sales force,"{""A"":14,""B"":14}"
qNNjkg4KBt6RxuuoR,?,emacs,vim,"{""A"":168,""B"":312}"
MWzvuJAbwrWEiYRad,Should US military stop Assad's mass killing in Allepo?,Yes,no,"{""A"":60,""B"":53}"
7w5oAnFHdhGQAKoFn,Remove the death penalty in California?,yes,no,"{""A"":75,""B"":45}"
GgGxGgo2BDGTddA5S,Higher taxes for free college education?,yes,no,"{""A"":78,""B"":52}"
p8fxzcbuRfgToCiKt,Future of VR?,yay,nah,"{""A"":350,""B"":238}"
Ka4FqpXjLL7r27RQn,Admiral of alligators or Cardinal of crocodiles?,alligators,crocodiles,"{""A"":162,""B"":163}"
SetnuPbedhyNi229a,?,SF,NYC,"{""A"":77,""B"":54}"
TqHEaicpZ6zzxjwed,Should Taiwan be independent?,Yes,No,"{""A"":66,""B"":20}"
ZYKtbgG9BP7BAtKDw,?,NYC,SF,"{""A"":84,""B"":196}"
bpTm4aB8RAi2qvB3G,?,YIMBY,NIMBY,"{""A"":69,""B"":102}"
ZZPFXMbDbPT3iXGvn,?,Gun rights,Gun control,"{""A"":217,""B"":425}"
ojc2RDYr6s3Bg5GK7,Your place or mine?,Yours,Mine,"{""A"":42,""B"":60}"
YQ8bQTX7HByfxGmih,?,Peets,Starbucks,"{""A"":130,""B"":64}"
tQRrMsXECakknkKDj,?,macvim,terminal vim,"{""A"":42,""B"":80}"
DZXsQJTtvioy5HiiP,Questionnaires?,scientific,biased,"{""A"":132,""B"":178}"
Quh6722Fhh65iGftN,?,yoga,dance,"{""A"":68,""B"":213}"
EhkSaPGrgCNokcY5K,?,Clinton,Trump,"{""A"":137,""B"":31}"
Y9v6N4aDKfPY7XPec,?,chocolate,chips,"{""A"":201,""B"":176}"
7J9RCc7cFYDsRQzpf,?,married,die single,"{""A"":141,""B"":93}"
Y6PSgynbyC98sSPk7,?,Trump,Johnson,"{""A"":18,""B"":65}"
d8o7ogQZXrQweGAqH,?,Soccer,Hockey,"{""A"":102,""B"":91}"
bEEerWynEfZbKncmA,?,iPhone,Android,"{""A"":352,""B"":319}"
PFgqadzeGB4YeaeoR,Which foot in the door?,Right foot,Left foot,"{""A"":62,""B"":66}"
